utr,merchant_id,settlement_date,gross_amount,fee,gst,net_amount,bank,payment_ref
UTR2026031,MERCH-002,2026-08-25,4411.99,101.48,18.27,4292.24,HDFC,PAY-9031
UTR2026033,MERCH-001,2026-08-28,7671.0,153.92,27.71,7489.37,SBI,PAY-9033
UTR2026016,MERCH-002,2026-08-26,6950.99,160.17,28.83,6761.99,HDFC,PAY-9016
UTR2026018,MERCH-001,2026-08-28,5990.0,120.1,21.62,5848.28,AXIS,PAY-9018
UTR2026008,MERCH-003,2026-08-25,6003.89,108.37,19.51,5876.01,SBI,
UTR2026026,MERCH-003,2026-08-22,1725.99,31.07,5.59,1689.33,AXIS,PAY-9026
UTR2026041,MERCH-003,2026-08-26,8045.99,157.4,28.33,7860.26,HDFC,PAY-9041
UTR2026040,MERCH-002,2026-08-27,6702.75,154.16,27.75,6520.84,AXIS,PAY-9040
UTR2026036,MERCH-001,2026-08-25,7026.75,140.54,25.3,6860.91,HDFC,PAY-9036
UTR2026015,MERCH-001,2026-08-27,8469.75,169.4,30.49,8269.86,AXIS,PAY-9015
UTR2026028,MERCH-002,2026-08-29,5028.75,115.96,20.87,4891.92,ICICI,
UTR2026043,MERCH-002,2026-08-27,4178.99,96.62,17.39,4064.98,SBI,
UTR2026044,MERCH-003,2026-08-27,6097.49,110.05,19.81,5967.63,AXIS,PAY-9044
UTR2026048,MERCH-001,2026-08-28,1850.0,39.78,7.16,1803.06,SBI,PAY-9048
UTR2026045,MERCH-001,2026-08-25,7696.99,154.44,27.8,7514.75,SBI,PAY-9045
UTR2026007,MERCH-002,2026-08-29,8767.99,202.16,36.39,8529.44,SBI,PAY-9007
UTR2026010,MERCH-002,2026-08-22,4565.99,105.52,18.99,4441.48,SBI,PAY-9010
UTR2026022,MERCH-002,2026-08-28,535.49,12.82,2.31,520.36,ICICI,
UTR2026003,MERCH-001,2026-08-26,3878.49,78.07,14.05,3786.37,SBI,PAY-9003
UTR2026035,MERCH-003,2026-08-28,7355.0,132.89,23.92,7198.19,HDFC,PAY-9035
UTR2026029,MERCH-003,2026-08-22,1190.75,21.93,3.95,1164.87,AXIS,PAY-9029
UTR2026023,MERCH-003,2026-08-26,4669.99,84.36,15.18,4570.45,ICICI,PAY-9023
UTR2026039,MERCH-001,2026-08-25,4120.99,82.92,14.93,4023.14,HDFC,
UTR2026024,MERCH-001,2026-08-25,3062.75,61.56,11.08,2990.11,SBI,PAY-9024
UTR2026019,MERCH-002,2026-08-25,5541.0,127.44,22.94,5390.62,ICICI,PAY-9019
UTR2026004,MERCH-002,2026-08-26,2533.99,58.78,10.58,2464.63,SBI,PAY-9004
UTR2026042,MERCH-001,2026-08-29,3137.0,62.74,11.29,3062.97,HDFC,
UTR2026006,MERCH-001,2026-08-23,5023.75,100.98,18.18,4904.59,SBI,PAY-9006
UTR2026005,MERCH-003,2026-08-28,4312.99,77.93,14.03,4221.03,SBI,PAY-9005
UTR2026020,MERCH-003,2026-08-25,5711.99,103.32,18.6,5590.07,SBI,PAY-9020
UTR2026037,MERCH-002,2026-08-27,2044.49,51.61,9.29,1983.59,AXIS,PAY-9037
UTR2026012,MERCH-001,2026-08-26,3457.49,69.65,12.54,3375.3,AXIS,PAY-9012
UTR2026002,MERCH-003,2026-08-27,8245.99,148.93,26.81,8070.25,HDFC,PAY-9002
UTR2026011,MERCH-003,2026-08-24,7562.0,136.62,24.59,7400.79,HDFC,PAY-9011
UTR2026049,MERCH-002,2026-08-25,8663.49,199.76,35.96,8427.77,SBI,PAY-9049
UTR2026046,MERCH-002,2026-08-24,6107.25,140.97,25.37,5940.91,ICICI,
UTR2026030,MERCH-001,2026-08-28,1247.75,24.96,4.49,1218.3,HDFC,
UTR2026034,MERCH-002,2026-08-26,2156.75,49.91,8.98,2097.86,HDFC,PAY-9034
UTR2026001,MERCH-002,2026-08-25,7754.99,178.36,32.1,7544.53,SBI,
UTR2026013,MERCH-002,2026-08-28,6053.49,139.73,25.15,5888.61,ICICI,PAY-9013
UTR2026027,MERCH-001,2026-08-29,2768.75,60.03,10.81,2697.91,ICICI,PAY-9027
UTR2026009,MERCH-001,2026-08-28,1811.99,34.93,6.29,1770.77,SBI,PAY-9009
UTR2026025,MERCH-002,2026-08-24,5537.99,138.45,24.92,5374.62,ICICI,PAY-9025
UTR2026050,MERCH-003,2026-08-24,4483.75,80.71,14.53,4388.51,AXIS,PAY-9050
UTR2026038,MERCH-003,2026-08-26,3605.7,65.2,11.74,3528.76,SBI,
UTR2026021,MERCH-001,2026-08-22,3402.49,68.35,12.3,3321.84,ICICI,PAY-9021
