order_id,merchant_id,order_date,order_amount,currency,customer_id,status
ORD-4001,MERCH-002,2026-08-23,7754.99,INR,CUST-62268,PAID
ORD-4002,MERCH-003,2026-08-25,8245.99,INR,CUST-65045,PAID
ORD-4003,MERCH-001,2026-08-25,3878.49,INR,CUST-78579,PAID
ORD-4004,MERCH-002,2026-08-24,2533.99,INR,CUST-25992,PAID
ORD-4005,MERCH-003,2026-08-26,4312.99,INR,CUST-81846,PAID
ORD-4006,MERCH-001,2026-08-22,5023.75,INR,CUST-14339,PAID
ORD-4007,MERCH-002,2026-08-27,8767.99,INR,CUST-36193,PAID
ORD-4008,MERCH-003,2026-08-24,8576.99,INR,CUST-83116,PARTIALLY_REFUNDED
ORD-4009,MERCH-001,2026-08-27,1811.99,INR,CUST-69365,PAID
ORD-4010,MERCH-002,2026-08-21,4565.99,INR,CUST-22669,PAID
ORD-4011,MERCH-003,2026-08-22,7562.0,INR,CUST-10028,PAID
ORD-4012,MERCH-001,2026-08-25,3457.49,INR,CUST-91405,PAID
ORD-4013,MERCH-002,2026-08-26,6053.49,INR,CUST-51083,PAID
ORD-4014,MERCH-003,2026-08-25,3852.99,INR,CUST-88398,PAID
ORD-4015,MERCH-001,2026-08-26,8469.75,INR,CUST-64759,PAID
ORD-4016,MERCH-002,2026-08-25,6950.99,INR,CUST-78161,PAID
ORD-4017,MERCH-003,2026-08-21,6579.0,INR,CUST-55484,PAID
ORD-4018,MERCH-001,2026-08-26,5990.0,INR,CUST-76897,PAID
ORD-4019,MERCH-002,2026-08-24,5541.0,INR,CUST-71155,PAID
ORD-4020,MERCH-003,2026-08-24,5711.99,INR,CUST-98932,PAID
ORD-4021,MERCH-001,2026-08-21,3402.49,INR,CUST-94964,PAID
ORD-4022,MERCH-002,2026-08-24,535.49,INR,CUST-77744,PAID
ORD-4023,MERCH-003,2026-08-24,4669.99,INR,CUST-20309,PAID
ORD-4024,MERCH-001,2026-08-23,3062.75,INR,CUST-75221,PAID
ORD-4025,MERCH-002,2026-08-22,5537.99,INR,CUST-25742,PAID
ORD-4026,MERCH-003,2026-08-21,1725.99,INR,CUST-63477,PAID
ORD-4027,MERCH-001,2026-08-27,2768.75,INR,CUST-24377,PAID
ORD-4028,MERCH-002,2026-08-25,5028.75,INR,CUST-23298,PAID
ORD-4029,MERCH-003,2026-08-21,1190.75,INR,CUST-94665,PAID
ORD-4030,MERCH-001,2026-08-23,1247.75,INR,CUST-31153,PAID
ORD-4031,MERCH-002,2026-08-24,4411.99,INR,CUST-17511,PAID
ORD-4032,MERCH-003,2026-08-23,2215.0,INR,CUST-51284,PAID
ORD-4033,MERCH-001,2026-08-27,7671.0,INR,CUST-51427,PAID
ORD-4034,MERCH-002,2026-08-24,2156.75,INR,CUST-60993,PAID
ORD-4035,MERCH-003,2026-08-26,7355.0,INR,CUST-53325,PAID
ORD-4036,MERCH-001,2026-08-23,7026.75,INR,CUST-81061,PAID
ORD-4037,MERCH-002,2026-08-26,2044.49,INR,CUST-25503,PAID
ORD-4038,MERCH-003,2026-08-25,5151.0,INR,CUST-85776,PARTIALLY_REFUNDED
ORD-4039,MERCH-001,2026-08-24,4120.99,INR,CUST-26411,PAID
ORD-4040,MERCH-002,2026-08-26,6702.75,INR,CUST-39917,PAID
ORD-4041,MERCH-003,2026-08-25,8045.99,INR,CUST-51254,PAID
ORD-4042,MERCH-001,2026-08-27,3137.0,INR,CUST-54657,PAID
ORD-4043,MERCH-002,2026-08-26,4178.99,INR,CUST-39076,PAID
ORD-4044,MERCH-003,2026-08-26,6097.49,INR,CUST-55047,PAID
ORD-4045,MERCH-001,2026-08-24,7696.99,INR,CUST-34628,PAID
ORD-4046,MERCH-002,2026-08-22,8143.0,INR,CUST-78580,PARTIALLY_REFUNDED
ORD-4047,MERCH-003,2026-08-21,5099.75,INR,CUST-28082,PAID
ORD-4048,MERCH-001,2026-08-26,1850.0,INR,CUST-86334,PAID
ORD-4049,MERCH-002,2026-08-24,8663.49,INR,CUST-21211,PAID
ORD-4050,MERCH-003,2026-08-23,4483.75,INR,CUST-87689,PAID
