payment_id,order_id,merchant_id,payment_date,amount,currency,method,gateway_desc
PAY-9001,ORD-4001,MERCH-002,2026-08-23,7754.99,INR,UPI,UPI CAPTURE NOVA ORD-4001
PAY-9002,ORD-4002,MERCH-003,2026-08-25,8245.99,INR,NETBANKING,NETBANKING CAPTURE FINTECH ORD-4002
PAY-9003,ORD-4003,MERCH-001,2026-08-25,3878.49,INR,UPI,UPI CAPTURE ACME ORD-4003
PAY-9004,ORD-4004,MERCH-002,2026-08-24,2533.99,INR,CARD,CARD CAPTURE NOVA ORD-4004
PAY-9005,ORD-4005,MERCH-003,2026-08-26,4312.99,INR,NETBANKING,NETBANKING CAPTURE FINTECH ORD-4005
PAY-9006,ORD-4006,MERCH-001,2026-08-22,5023.75,INR,UPI,UPI CAPTURE ACME ORD-4006
PAY-9007,ORD-4007,MERCH-002,2026-08-27,8767.99,INR,NETBANKING,NETBANKING CAPTURE NOVA ORD-4007
PAY-9008,ORD-4008,MERCH-003,2026-08-24,8576.99,INR,WALLET,WALLET CAPTURE FINTECH ORD-4008
PAY-9009,ORD-4009,MERCH-001,2026-08-27,1811.99,INR,NETBANKING,NETBANKING CAPTURE ACME ORD-4009
PAY-9010,ORD-4010,MERCH-002,2026-08-21,4565.99,INR,NETBANKING,NETBANKING CAPTURE NOVA ORD-4010
PAY-9011,ORD-4011,MERCH-003,2026-08-22,7562.0,INR,UPI,UPI CAPTURE FINTECH ORD-4011
PAY-9012,ORD-4012,MERCH-001,2026-08-25,3457.49,INR,UPI,UPI CAPTURE ACME ORD-4012
PAY-9013,ORD-4013,MERCH-002,2026-08-26,6053.49,INR,UPI,UPI CAPTURE NOVA ORD-4013
PAY-9014,ORD-4014,MERCH-003,2026-08-25,3852.99,INR,CARD,CARD CAPTURE FINTECH ORD-4014
PAY-9015,ORD-4015,MERCH-001,2026-08-26,8469.75,INR,UPI,UPI CAPTURE ACME ORD-4015
PAY-9016,ORD-4016,MERCH-002,2026-08-25,6950.99,INR,CARD,CARD CAPTURE NOVA ORD-4016
PAY-9017,ORD-4017,MERCH-003,2026-08-21,6579.0,INR,UPI,UPI CAPTURE FINTECH ORD-4017
PAY-9018,ORD-4018,MERCH-001,2026-08-26,5990.0,INR,UPI,UPI CAPTURE ACME ORD-4018
PAY-9019,ORD-4019,MERCH-002,2026-08-24,5541.0,INR,WALLET,WALLET CAPTURE NOVA ORD-4019
PAY-9020,ORD-4020,MERCH-003,2026-08-24,5711.99,INR,CARD,CARD CAPTURE FINTECH ORD-4020
PAY-9021,ORD-4021,MERCH-001,2026-08-21,3402.49,INR,UPI,UPI CAPTURE ACME ORD-4021
PAY-9022,ORD-4022,MERCH-002,2026-08-24,535.49,INR,CARD,CARD CAPTURE NOVA ORD-4022
PAY-9023,ORD-4023,MERCH-003,2026-08-24,4669.99,INR,WALLET,WALLET CAPTURE FINTECH ORD-4023
PAY-9024,ORD-4024,MERCH-001,2026-08-23,3062.75,INR,WALLET,WALLET CAPTURE ACME ORD-4024
PAY-9025,ORD-4025,MERCH-002,2026-08-22,5537.99,INR,WALLET,WALLET CAPTURE NOVA ORD-4025
PAY-9026,ORD-4026,MERCH-003,2026-08-21,1725.99,INR,NETBANKING,NETBANKING CAPTURE FINTECH ORD-4026
PAY-9027,ORD-4027,MERCH-001,2026-08-27,2768.75,INR,CARD,CARD CAPTURE ACME ORD-4027
PAY-9028,ORD-4028,MERCH-002,2026-08-25,5028.75,INR,CARD,CARD CAPTURE NOVA ORD-4028
PAY-9029,ORD-4029,MERCH-003,2026-08-21,1190.75,INR,CARD,CARD CAPTURE FINTECH ORD-4029
PAY-9030,ORD-4030,MERCH-001,2026-08-23,1247.75,INR,NETBANKING,NETBANKING CAPTURE ACME ORD-4030
PAY-9031,ORD-4031,MERCH-002,2026-08-24,4411.99,INR,UPI,UPI CAPTURE NOVA ORD-4031
PAY-9032,ORD-4032,MERCH-003,2026-08-23,2215.0,INR,NETBANKING,NETBANKING CAPTURE FINTECH ORD-4032
PAY-9033,ORD-4033,MERCH-001,2026-08-27,7671.0,INR,WALLET,WALLET CAPTURE ACME ORD-4033
PAY-9034,ORD-4034,MERCH-002,2026-08-24,2156.75,INR,NETBANKING,NETBANKING CAPTURE NOVA ORD-4034
PAY-9035,ORD-4035,MERCH-003,2026-08-26,7355.0,INR,NETBANKING,NETBANKING CAPTURE FINTECH ORD-4035
PAY-9036,ORD-4036,MERCH-001,2026-08-23,7026.75,INR,UPI,UPI CAPTURE ACME ORD-4036
PAY-9037,ORD-4037,MERCH-002,2026-08-26,2044.49,INR,UPI,UPI CAPTURE NOVA ORD-4037
PAY-9038,ORD-4038,MERCH-003,2026-08-25,5151.0,INR,WALLET,WALLET CAPTURE FINTECH ORD-4038
PAY-9039,ORD-4039,MERCH-001,2026-08-24,4120.99,INR,CARD,CARD CAPTURE ACME ORD-4039
PAY-9040,ORD-4040,MERCH-002,2026-08-26,6702.75,INR,CARD,CARD CAPTURE NOVA ORD-4040
PAY-9041,ORD-4041,MERCH-003,2026-08-25,8045.99,INR,NETBANKING,NETBANKING CAPTURE FINTECH ORD-4041
PAY-9042,ORD-4042,MERCH-001,2026-08-27,3137.0,INR,NETBANKING,NETBANKING CAPTURE ACME ORD-4042
PAY-9043,ORD-4043,MERCH-002,2026-08-26,4178.99,INR,UPI,UPI CAPTURE NOVA ORD-4043
PAY-9044,ORD-4044,MERCH-003,2026-08-26,6097.49,INR,NETBANKING,NETBANKING CAPTURE FINTECH ORD-4044
PAY-9045,ORD-4045,MERCH-001,2026-08-24,7696.99,INR,NETBANKING,NETBANKING CAPTURE ACME ORD-4045
PAY-9046,ORD-4046,MERCH-002,2026-08-22,8143.0,INR,NETBANKING,NETBANKING CAPTURE NOVA ORD-4046
PAY-9047,ORD-4047,MERCH-003,2026-08-21,5099.75,INR,NETBANKING,NETBANKING CAPTURE FINTECH ORD-4047
PAY-9048,ORD-4048,MERCH-001,2026-08-26,1850.0,INR,CARD,CARD CAPTURE ACME ORD-4048
PAY-9049,ORD-4049,MERCH-002,2026-08-24,8663.49,INR,UPI,UPI CAPTURE NOVA ORD-4049
PAY-9050,ORD-4050,MERCH-003,2026-08-23,4483.75,INR,UPI,UPI CAPTURE FINTECH ORD-4050
